Year,Season,latitude,longitude,Hujan
1985,AMJ,-10.75,122.5,48.35164835164835
1985,AMJ,-10.75,122.75,50.54945054945055
1985,AMJ,-10.75,123.0,52.74725274725275
1985,AMJ,-10.75,123.25,57.14285714285714
1985,AMJ,-10.75,123.5,54.94505494505495
1985,AMJ,-10.75,123.75,51.64835164835166
1985,AMJ,-10.75,124.0,54.94505494505495
1985,AMJ,-10.75,124.25,53.84615384615385
1985,AMJ,-10.75,124.5,54.94505494505495
1985,AMJ,-10.75,124.75,54.94505494505495
1985,AMJ,-10.75,125.0,56.043956043956044
1985,AMJ,-10.75,125.25,54.94505494505495
1985,AMJ,-10.75,125.5,53.84615384615385
1985,AMJ,-10.5,118.0,67.03296703296702
1985,AMJ,-10.5,118.25,69.23076923076923
1985,AMJ,-10.5,118.5,64.83516483516483
1985,AMJ,-10.5,118.75,62.637362637362635
1985,AMJ,-10.5,119.0,67.03296703296702
1985,AMJ,-10.5,119.25,67.03296703296702
1985,AMJ,-10.5,119.5,65.93406593406593
1985,AMJ,-10.5,119.75,67.03296703296702
1985,AMJ,-10.5,120.0,69.23076923076923
1985,AMJ,-10.5,120.25,72.52747252747253
1985,AMJ,-10.5,120.5,76.92307692307693
1985,AMJ,-10.5,120.75,79.12087912087912
1985,AMJ,-10.5,121.0,65.93406593406593
1985,AMJ,-10.5,121.25,62.637362637362635
1985,AMJ,-10.5,121.5,60.43956043956044
1985,AMJ,-10.5,121.75,61.53846153846154
1985,AMJ,-10.5,122.0,63.73626373626373
1985,AMJ,-10.5,122.25,60.43956043956044
1985,AMJ,-10.5,122.5,58.24175824175825
1985,AMJ,-10.5,122.75,46.15384615384615
1985,AMJ,-10.5,123.0,38.46153846153847
1985,AMJ,-10.5,123.25,45.05494505494506
1985,AMJ,-10.5,123.5,45.05494505494506
1985,AMJ,-10.5,123.75,54.94505494505495
1985,AMJ,-10.5,124.0,59.34065934065934
1985,AMJ,-10.5,124.25,60.43956043956044
1985,AMJ,-10.5,124.5,63.73626373626373
1985,AMJ,-10.5,124.75,64.83516483516483
1985,AMJ,-10.5,125.0,61.53846153846154
1985,AMJ,-10.5,125.25,61.53846153846154
1985,AMJ,-10.5,125.5,57.14285714285714
1985,AMJ,-10.25,118.0,69.23076923076923
1985,AMJ,-10.25,118.25,71.42857142857143
1985,AMJ,-10.25,118.5,67.03296703296702
1985,AMJ,-10.25,118.75,63.73626373626373
1985,AMJ,-10.25,119.0,62.637362637362635
1985,AMJ,-10.25,119.25,61.53846153846154
1985,AMJ,-10.25,119.5,62.637362637362635
1985,AMJ,-10.25,119.75,57.14285714285714
1985,AMJ,-10.25,120.0,64.83516483516483
1985,AMJ,-10.25,120.25,83.51648351648352
1985,AMJ,-10.25,120.5,83.51648351648352
1985,AMJ,-10.25,120.75,78.02197802197803
1985,AMJ,-10.25,121.0,72.52747252747253
1985,AMJ,-10.25,121.25,64.83516483516483
1985,AMJ,-10.25,121.5,63.73626373626373
1985,AMJ,-10.25,121.75,65.93406593406593
1985,AMJ,-10.25,122.0,63.73626373626373
1985,AMJ,-10.25,122.25,54.94505494505495
1985,AMJ,-10.25,122.5,50.54945054945055
1985,AMJ,-10.25,122.75,37.362637362637365
1985,AMJ,-10.25,123.0,37.362637362637365
1985,AMJ,-10.25,123.25,31.868131868131865
1985,AMJ,-10.25,123.5,32.967032967032964
1985,AMJ,-10.25,123.75,39.56043956043956
1985,AMJ,-10.25,124.0,49.45054945054945
1985,AMJ,-10.25,124.25,53.84615384615385
1985,AMJ,-10.25,124.5,60.43956043956044
1985,AMJ,-10.25,124.75,68.13186813186813
1985,AMJ,-10.25,125.0,70.32967032967034
1985,AMJ,-10.25,125.25,62.637362637362635
1985,AMJ,-10.25,125.5,62.637362637362635
1985,AMJ,-10.0,118.0,64.83516483516483
1985,AMJ,-10.0,118.25,67.03296703296702
1985,AMJ,-10.0,118.5,61.53846153846154
1985,AMJ,-10.0,118.75,56.043956043956044
1985,AMJ,-10.0,119.0,51.64835164835166
1985,AMJ,-10.0,119.25,57.14285714285714
1985,AMJ,-10.0,119.5,53.84615384615385
1985,AMJ,-10.0,119.75,71.42857142857143
1985,AMJ,-10.0,120.0,65.93406593406593
1985,AMJ,-10.0,120.25,78.02197802197803
1985,AMJ,-10.0,120.5,81.31868131868131
1985,AMJ,-10.0,120.75,81.31868131868131
1985,AMJ,-10.0,121.0,72.52747252747253
1985,AMJ,-10.0,121.25,64.83516483516483
